duration,total_fpackets,total_bpackets,total_fpktl,total_bpktl,min_fpktl,min_bpktl,max_fpktl,max_bpktl,mean_fpktl,mean_bpktl,std_fpktl,std_bpktl,total_fiat,total_biat,min_fiat,min_biat,max_fiat,max_biat,mean_fiat,mean_biat,std_fiat,std_biat,fpsh_cnt,bpsh_cnt,furg_cnt,burg_cnt,total_fhlen,total_bhlen,fPktsPerSecond,bPktsPerSecond,flowPktsPerSecond,flowBytesPerSecond,min_flowpktl,max_flowpktl,mean_flowpktl,std_flowpktl,min_flowiat,max_flowiat,mean_flowiat,std_flowiat,flow_fin,flow_syn,flow_rst,flow_psh,flow_ack,flow_urg,flow_cwr,flow_ece,downUpRatio,avgPacketSize,fAvgSegmentSize,fHeaderBytes,fAvgBytesPerBulk,fAvgPacketsPerBulk,fAvgBulkRate,bVarianceDataBytes,bAvgSegmentSize,bAvgBytesPerBulk,bAvgPacketsPerBulk,bAvgBulkRate,sflow_fpacket,sflow_fbytes,sflow_bpacket,sflow_bbytes,min_active,mean_active,max_active,std_active,min_idle,mean_idle,max_idle,std_idle,FFNEPD,Init_Win_bytes_forward,Init_Win_bytes_backward,RRT_samples_clnt,Act_data_pkt_forward,min_seg_size_forward,calss
1020586,668,1641,35692,2276876,52,52,679,1390,53.43113772,1387.492992,25.85059229,54.2207838,1012372,1004743,1,2,33003,37595,1517.7991,612.6481707,3430.256494,1961.288204,3,16,0,0,13360,32820,654.5259292,1607.899775,2262.425704,2265921.735,52,1390,1001.545258,606.9292954,-30,20674,442.194974,1208.029126,0,2,0,19,2308,0,0,0,63.79233442,1001.545258,53.43113772,13360,376,7,238318,2939.893396,1387,13535,9,4961514,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,4194240,1853440,1640,668,32,benign
80794,1,1,75,124,75,124,75,124,75.0,124.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,20,12.37715672,12.37715672,24.75431344,2463.054187,75,124,99.5,34.63379852,80794,80794,80794.0,0.0,0,0,0,0,0,0,0,0,1.653333333,99.5,75.0,20,0,0,0,0.0,124,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,0,0,0,1,0,benign
998,3,0,187,0,52,-1,83,-1,62.33333333,0.0,17.88388474,0.0,998,0,2,-1,996,-1,499.0,0.0,702.8634291,0.0,1,0,0,0,60,0,3006.012024,0.0,3006.012024,187374.7495,52,83,62.33333333,17.88388474,2,996,499.0,702.8634291,0,0,1,1,3,0,0,0,0.0,62.33333333,62.33333333,60,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,4,101888,-1,0,3,32,benign
189868,9,9,1448,6200,52,52,706,1390,160.8888889,688.8888889,216.1619442,665.6900451,137870,161424,2,11,40746,71705,17233.75,20178.0,17780.63985,29411.67515,3,4,0,0,180,180,47.40135252,47.40135252,94.80270504,40280.61601,52,1390,424.8888889,551.654345,2,51972,11168.70588,17180.91265,1,2,0,7,17,0,0,0,4.281767956,424.8888889,160.8888889,180,334,4,8196,443143.2361,688,4201,4,2879369,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,4194240,2722560,8,9,32,benign
110577,4,6,528,1422,52,52,331,1005,132.0,237.0,134.0659042,377.3987281,82246,81939,3,12,80371,49456,27415.33333,16387.8,45870.47268,22885.04745,2,4,0,0,80,120,36.17388788,54.26083182,90.4347197,17634.77034,52,1005,195.0,296.7473673,3,49456,12286.33333,18425.63881,0,0,0,6,10,0,0,0,2.693181818,195.0,132.0,80,0,0,0,142429.8,237,1370,5,27150,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,155136,31232,5,4,32,benign
261876,7,6,1618,882,52,52,730,477,231.1428571,147.0,290.1125808,170.4740449,261876,186534,2,454,95625,77201,43646.0,37306.8,39724.78194,27948.16201,3,2,0,0,140,120,26.73020819,22.91160702,49.64181521,9546.502925,52,730,192.3076923,236.8497712,2,72473,21823.0,22332.50694,0,2,0,5,12,0,0,0,0.545117429,192.3076923,231.1428571,140,0,0,0,29061.4,147,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,4194240,926720,3,7,32,benign
14,2,0,104,0,52,-1,52,-1,52.0,0.0,1.0,0.0,14,0,14,-1,14,-1,14.0,0.0,0.0,0.0,0,0,0,0,40,0,142857.1429,0.0,142857.1429,7428571.429,52,52,52.0,1.0,14,14,14.0,0.0,0,0,0,0,2,0,0,0,0.0,52.0,52.0,40,0,0,0,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,3,5824,-1,0,2,32,benign
29675,1,1,71,213,71,213,71,213,71.0,213.0,0.0,0.0,0,0,-1,-1,-1,-1,0.0,0.0,0.0,0.0,0,0,0,0,20,20,33.69839933,33.69839933,67.39679865,9570.345409,71,213,142.0,100.4041832,29675,29675,29675.0,0.0,0,0,0,0,0,0,0,0,3.0,142.0,71.0,20,0,0,0,0.0,213,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,2,0,0,0,1,0,benign
806635,4,0,239,0,52,-1,83,-1,59.75,0.0,15.48924358,0.0,806635,0,5,-1,765503,-1,268878.3333,0.0,430580.7699,0.0,1,0,0,0,80,0,4.958872352,0.0,4.958872352,296.2926231,52,83,59.75,15.48924358,5,765503,268878.3333,430580.7699,1,0,0,1,4,0,0,0,0.0,59.75,59.75,80,239,4,296,0.0,0,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,5,107008,-1,0,4,32,benign
56620,3,2,1074,719,52,52,592,667,358.0,359.5,277.1055755,434.8695207,56620,33231,6,33231,56614,33231,28310.0,33231.0,40027.90066,0.0,2,1,0,0,60,40,52.98481102,35.32320735,88.30801837,31667.25539,52,667,358.6,292.6987359,6,33231,14155.0,15940.48286,0,0,0,3,5,0,0,0,0.669459963,358.6,358.0,60,0,0,0,189111.5,359,0,0,0,0,0,0,0,-1,0.0,-1,0.0,-1,0.0,-1,0.0,3,128512,10816,1,3,32,benign
